"","logFC","AveExpr","t","P.Value","adj.P.Val","B","hu_gene_name"
"210164_at",1.2056423264965,8.82370504706754,19.0462042211044,2.02322110981414e-11,3.48965177020742e-07,12.1566110299377,"GZMB"
"209969_s_at",0.992868789662189,9.08037311238076,15.6865777711457,2.74190457598686e-10,2.36461850633107e-06,10.9213686141619,"STAT1"
"AFFX-HUMISGF3A/M97935_3_at",0.699101660596249,9.24473296083063,11.3112513214294,1.95422426210235e-08,0.000112354866909138,8.35434941452509,"STAT1"
"205066_s_at",0.656985153172466,9.57228535189381,10.6375798748781,4.2493847965986e-08,0.000183233472429332,7.81738440314184,"ENPP1"
"201105_at",0.52433559655734,7.72156347484505,9.06476952998316,3.06463929836797e-07,0.00105717797236501,6.36452989011647,"LGALS1"
"209417_s_at",0.493508258972054,6.57303716178845,8.58727100082809,5.87123698920406e-07,0.00168778492649653,5.86109338834506,"IFI35"
"200887_s_at",0.686549592569026,10.4905599344684,8.37197006021201,7.93748701551753e-07,0.00195579680062352,5.62365125580558,"STAT1"
"205488_at",0.381631043872318,10.1908678702128,8.18465930522621,1.03637639681331e-06,0.00206766662396299,5.41160993506769,"GZMA"
"202688_at",0.341039532128485,9.28750760451255,8.15666487584861,1.07890767716065e-06,0.00206766662396299,5.3794751948744,"TNFSF10"
"AFFX-HUMISGF3A/M97935_5_at",0.69133506543897,8.07366498782066,7.60682332906194,2.42348070279929e-06,0.00418001951618822,4.72424025385289,"STAT1"
"201649_at",0.417234793948294,9.52837221964554,7.46945133545347,2.98401926831359e-06,0.00467894221271571,4.55320819459388,"UBE2L6"
"AFFX-HUMISGF3A/M97935_MA_at",0.705622765525189,8.24317413550192,7.40896932950615,3.27278878996526e-06,0.00470408842077674,4.47695511204843,"STAT1"
"207351_s_at",0.502740704399196,5.98299969683057,6.9837441646662,6.35030651084516e-06,0.00842539128454287,3.92414175049286,"SH2D2A"
"202307_s_at",0.477739723410651,7.05150254866398,6.91638462554288,7.06884772461405e-06,0.0087088203967245,3.83384896173577,"TAP1"
"204279_at",0.497352776369695,8.28333347553825,6.77772770706085,8.83100807188789e-06,0.0100092486358978,3.64560807432252,"PSMB9"
"201666_at",0.449909418859636,6.33143055732982,6.74671714229278,9.28501728747475e-06,0.0100092486358978,3.60306830386375,"TIMP1"
"216231_s_at",0.227704283001806,12.3917220382083,6.40251271192728,1.63405918323651e-05,0.0165789722308608,3.12001143286712,"B2M"
"203939_at",0.356825848056143,6.81255874158045,6.25919839821974,2.07760134705336e-05,0.0199080377966536,2.91296086619679,"NT5E"
"200905_x_at",0.339240118195416,10.1795765186678,6.20956760871387,2.25926673617171e-05,0.0205093856134156,2.84044265957664,"HLA-E"
"213578_at",-0.256118343553083,8.15102345116788,-6.12784309810085,2.59559585344271e-05,0.0223844186400899,2.72011622571459,"BMPR1A"
"202531_at",0.52013199451333,8.17340274821603,6.05977014481366,2.91572073353202e-05,0.0239477862914096,2.61902108808459,"IRF1"
"204804_at",0.333992569294577,6.8774671782212,5.99457636254448,3.26122034863061e-05,0.0247389635225907,2.52146235790338,"TRIM21"
"203644_s_at",-0.286636257500522,6.95066722039876,-5.98790605834915,3.298910952108e-05,0.0247389635225907,2.51143986583004,"MON1B"
"202975_s_at",0.289228161539563,6.61090424777311,5.87860665632889,3.9858924488049e-05,0.0286452803987445,2.34613520951822,"RHOBTB3"
"203760_s_at",0.359178163999743,8.0332533866736,5.84569542483176,4.22089122184074e-05,0.0291207727177236,2.29596335847431,"SLA"
"209670_at",0.374736480183579,4.75165814625077,5.76591551893992,4.85268729973102e-05,0.0321919809791387,2.17358206936542,"TRAC"
"201858_s_at",0.265310756568839,9.4994829944364,5.7061507269498,5.39029857720581e-05,0.0339952411104944,2.08120072518218,"SRGN"
"204415_at",0.33444397642582,7.45362749778057,5.68247384689243,5.62016805880922e-05,0.0339952411104944,2.04443622629124,"IFI6"
"206118_at",0.222516310503369,8.04607348878178,5.66772841361823,5.76847792549358e-05,0.0339952411104944,2.02149261679789,"STAT4"
"209365_s_at",0.400480842519766,5.27300497976518,5.65374493265491,5.91290139908878e-05,0.0339952411104944,1.99970095199091,"ECM1"
"203729_at",0.286014661863801,9.66966041992659,5.60277355142349,6.47210775651222e-05,0.0360099724465558,1.91999118151286,"EMP3"
"201478_s_at",-0.279722538649399,9.50126234986067,-5.57334730417056,6.81981734250544e-05,0.0367588154761043,1.87377680447859,"DKC1"
"210948_s_at",0.390314427534879,8.63355327960728,5.54629713979991,7.15665360868384e-05,0.0372943000921108,1.83116716294378,"LEF1"
"34210_at",0.443022240216173,4.70894105456987,5.53124081728248,7.35161295878808e-05,0.0372943000921108,1.80739775889451,"CD52"
