ID_REF,3-28-PD1_rep1,3-28-PD1_rep2,3-28-PD1_rep3,3-28-PD1_rep4,3-28-PD1_rep5,3-28-PD1_rep6,3-28_rep1,3-28_rep3,3-28_rep4,3-28_rep5,3-28_rep6
1007_s_at,100.4294278,102.4583458,108.6281274,102.2817899,92.06440555,100.0211338,103.6847036,108.1378093,94.47800678,106.9713866,102.0315743
1053_at,401.8049367,412.8024415,396.7586854,409.8036045,403.9758942,400.9634432,393.1609511,390.3219207,409.8036045,450.9801917,447.2530636
117_at,14.85198592,14.79156288,17.16770386,15.45599446,16.26041834,15.15741803,15.0327843,13.86489724,15.26091433,18.07221799,14.57048009
121_at,48.36968871,50.78430958,55.32097563,48.45063983,58.01865371,49.70909259,49.70064099,52.34131901,51.181526,51.37367586,49.48485295
1255_g_at,7.950242201,8.920855398,7.979588447,8.253607046,8.685259246,8.218993978,7.720172111,8.519807829,8.41225571,8.06897842,8.253607046
1294_at,17.9684673,14.71162317,14.24466378,16.17950774,15.4418132,13.0399714,13.76112508,14.8061373,12.97085894,14.44103451,14.48329792
1316_at,13.33207996,13.24998625,11.73420156,11.77011759,14.11659825,11.32962855,12.15637484,11.61713576,11.79752702,11.15444198,10.46044221
1320_at,8.355810664,8.689720958,8.178567161,8.663045566,7.860982327,8.21967593,7.743166715,8.358946013,8.578827738,8.333622852,8.333622852
1405_i_at,8.642363967,7.761340411,6.9259429,7.16112474,7.759497254,7.214227806,7.41733725,7.295262379,7.416534589,8.08243329,6.991622119
1431_at,13.87383556,13.07203472,13.94781799,13.72443685,12.60061645,13.91822265,12.29368365,11.49293056,10.71796923,12.50183262,12.98342047
1438_at,8.688154748,8.974630987,8.982333099,7.673846018,10.02303532,8.313442701,8.289253706,9.685108265,8.963430362,9.895353564,9.144485401
1487_at,49.75088605,46.9003814,48.48097466,47.5312596,53.70369748,50.92385076,48.97925922,45.85668012,48.99414008,51.11329878,52.24616336
1494_f_at,13.45107785,13.05661465,13.61735388,13.42076616,13.46277578,13.48190918,13.87780422,14.43593022,14.30461942,14.49049565,14.39726349
1598_g_at,19.93253568,18.65654708,22.20349533,19.47150911,22.41153906,17.83741606,19.25316641,19.00271738,19.25316641,18.36547047,20.54793724
160020_at,16.7609138,17.69295871,17.74373622,17.75216368,18.82596818,16.03640258,16.24060132,19.56005222,17.37301458,17.18025742,17.58969399
1729_at,159.0057146,162.3569278,170.9139597,156.2490472,179.3832129,149.7392998,143.470085,166.1520853,159.0057146,158.2489332,164.9005449
1773_at,53.49982039,48.19108793,49.64323997,54.55280712,54.36307089,60.37315291,55.0644128,54.17399458,52.64040564,56.89072546,54.14108789
177_at,8.344362302,8.954897248,10.11239796,8.825796734,8.270446129,8.599739054,8.825818769,8.605321038,8.621236605,8.994864925,8.98240276
179_at,73.05998071,62.9814331,73.1304399,63.48042766,69.89306999,59.64609402,68.53758918,65.1592381,60.86599165,69.48312848,62.37908941
1861_at,100.9659893,109.4222525,108.1671338,92.59462786,107.3223199,109.9050923,117.0348319,115.9355928,107.0397433,113.4778251,115.7223725
200000_s_at,1165.971442,1068.605222,1120.621482,1233.328171,1373.419549,1310.314866,1447.582878,1461.89368,1301.307723,1297.861105,1294.143042
200001_at,1459.627831,1398.30696,1403.789857,1406.475759,1367.561175,1382.487826,1283.660537,1348.13741,1366.191964,1323.810551,1288.010475
200002_at,5016.210164,4943.836284,5113.042238,4943.836284,4858.658305,4935.416747,4836.047455,4956.046897,4704.892257,5158.833671,5213.77896
200003_s_at,9097.902589,8935.680735,8916.813064,8882.346439,8882.346439,8915.049512,8710.233231,8833.249341,8882.346439,8859.579751,8696.243218
200004_at,4188.910093,4445.197697,4437.779923,4314.047304,4486.147991,4816.989362,4708.583411,4431.661417,4577.557825,4495.273774,4562.035618
200005_at,2463.818523,2451.975658,2473.528324,2433.836405,2426.696777,2426.800266,2380.160999,2429.125166,2451.975658,2484.090688,2496.956489
200006_at,3782.247749,3972.219242,4108.786756,3918.207479,3895.596358,4013.528536,3877.588836,3902.887576,3920.791415,4006.367505,4062.318967
200007_at,2468.88058,2467.229231,2524.126383,2479.68354,2325.096898,2200.037423,2340.5991,2128.674161,2329.495141,2326.842226,2373.201064
200008_s_at,2071.094538,2015.810151,2175.715407,2158.817418,2255.434558,2123.770986,2171.339194,1884.108279,2123.770986,2123.770986,2193.173787
200009_at,4182.159869,4006.824524,4062.53919,4221.806725,4256.032974,4356.214755,4278.376803,4266.841709,4291.373738,4257.637215,4438.577916
200010_at,7633.999983,7636.746453,7528.602848,7719.715581,7301.473792,7301.473792,7162.872683,7276.962416,7039.479467,7162.780029,7386.873167
200011_s_at,845.1155055,990.902275,920.8961349,952.188828,954.7465077,866.501041,960.0118904,1017.420247,954.7465077,976.3635309,954.070939
200012_x_at,9553.028346,9806.496007,9964.263582,9700.336042,9662.442018,9715.137366,9568.500913,9746.001091,9561.104934,9939.746563,10004.36742
200013_at,5971.343924,5942.74643,5987.626385,5823.305172,5755.828328,5892.537357,5714.327484,5834.137338,5678.905396,5928.302603,5809.634635
200014_s_at,2013.024985,2045.434111,2197.770216,2079.537436,2007.164687,2223.53671,2118.058202,2099.707997,2094.593457,2110.89196,2110.89196
200015_s_at,1017.068622,983.2322815,1063.45839,1033.906043,1013.59789,1010.25602,1031.792793,1032.406552,1036.991952,1059.856096,1041.563405
200016_x_at,7670.576479,8118.387182,8465.749105,8052.855583,8252.940155,7800.703443,8085.417946,8052.855583,8000.904742,8163.567188,8052.855583
200017_at,7367.664106,7430.375014,7240.246488,7211.681716,7092.30518,7332.649123,7227.628399,6945.712642,6925.345918,7448.373783,7433.29003
200018_at,8252.591323,8466.822422,8433.175564,8163.372348,8288.002436,8271.948968,8638.510699,8419.20077,8386.969389,8864.69192,8618.080033
200019_s_at,8219.007126,8036.754476,7903.120127,8129.120826,8048.824548,7600.35418,7772.91285,7785.021643,7861.201064,7987.50576,8199.789902
200020_at,1099.904226,1153.492852,1098.262111,1132.094116,1208.605342,1124.25032,1183.764696,1112.673067,1173.480591,1149.900037,1108.710471
200021_at,10452.11146,10550.28904,10732.99195,10376.17074,10473.88291,10466.53042,10436.47422,10376.17074,10466.53042,10552.54364,10379.08287
200022_at,8298.573889,8298.573889,8333.23211,8486.089482,8298.573889,8203.051896,8314.079085,8298.573889,8161.946083,8683.870611,8293.586646
200023_s_at,4409.237397,4391.73837,4380.661253,4420.66158,4272.400286,4442.384868,4378.755552,4215.093172,4360.368338,4395.672272,4378.755552
200024_at,6596.031633,6602.14651,6602.14651,6638.055601,6605.796164,6816.952586,6453.616704,6319.435912,6524.606507,7098.363266,6766.967492
200025_s_at,7009.501047,7017.99075,7126.555512,6817.571229,6777.040607,6836.201064,6832.601011,6676.419282,6658.110827,7030.692009,6765.34902
200026_at,8343.478595,8091.024206,8189.177287,8104.002431,7837.242264,8018.823971,8018.823971,7620.846658,7905.482891,8289.256033,8187.33821
200027_at,2940.802416,3103.726028,3086.944358,3197.48107,3082.728341,3253.322792,3325.951742,3435.467012,3275.656606,3297.630365,3285.167656
200028_s_at,1319.198951,1426.507405,1458.353325,1465.327851,1677.850608,1619.928337,1823.603799,1713.924968,1675.805257,1717.23981,1619.928337
200029_at,10908.01015,10787.67244,10885.07251,11185.03518,10627.74785,10556.62378,10154.28902,10648.66471,10536.83598,10304.77578,10792.1546
200030_s_at,5753.7147,6173.33214,6056.888281,6078.991991,6055.98072,5993.456993,5993.456993,5874.565907,6054.627272,6090.63433,5805.564701
200031_s_at,10191.26264,9924.845798,9915.547905,10119.47375,9879.24968,9902.064656,9760.413646,9805.100967,9855.689986,9902.064656,10175.501
200032_s_at,9280.453293,9387.143809,9379.810417,9062.124119,9437.624172,9376.40981,9330.363908,9387.143809,9387.143809,9905.092,9790.206737
200033_at,3249.919578,3307.383567,3404.539221,3303.973472,3297.837538,3451.20954,3497.364661,3168.358994,3351.028324,3568.096595,3351.028324
200034_s_at,7904.015027,8024.838384,7985.935748,7824.955307,7749.010146,7706.474547,7985.935748,7890.95558,8117.822247,8455.012588,8018.160234
