"","affy_hg_u133_plus_2","external_gene_name"
"1","201104_x_at","AC240274.1"
"2","204166_at","SBNO2"
"3","202809_s_at","INTS3"
"4","203122_at","TRAPPC12"
"5","202809_s_at","SLC27A3"
"6","203957_at","AC007325.3"
"7","201681_s_at","DLG5"
"8","201759_at","TBCD"
"9","201642_at","IFNGR2"
"10","202245_at","LSS"
"11","203852_s_at","SMN2"
"12","204860_s_at","AC244635.2"
"13","203957_at","AC023491.1"
"14","203852_s_at","SMN1"
"15","204861_s_at","NAIP"
"16","204860_s_at","NAIP"
"17","200089_s_at","RPL4P5"
"18","202001_s_at","NDUFA6"
"19","202000_at","NDUFA6"
"20","204927_at","RASSF7"
"21","203933_at","RAB11FIP3"
"22","202408_s_at","AC012314.11"
"23","202407_s_at","AC012314.11"
"24","203239_s_at","CNOT3"
"25","202408_s_at","AC012314.12"
"26","202407_s_at","AC012314.12"
"27","203758_at","CTSO"
"28","203550_s_at","FAM189B"
"29","202408_s_at","AC012314.7"
"30","202407_s_at","AC012314.7"
"31","203146_s_at","GABBR1"
"32","202408_s_at","AC012314.13"
"33","202407_s_at","AC012314.13"
"34","201771_at","SCAMP3"
"35","203229_s_at","CLK2"
"36","204148_s_at","POMZP3"
"37","202408_s_at","AC012314.3"
"38","202407_s_at","AC012314.3"
"39","202408_s_at","PRPF31"
"40","202407_s_at","PRPF31"
"41","200000_s_at","PRPF8"
"42","203893_at","AK6"
"43","202168_at","TAF9"
"44","204806_x_at","HLA-F"
"45","202591_s_at","SSBP1"
"46","203876_s_at","MMP11"
"47","203878_s_at","MMP11"
"48","202408_s_at","AC012314.5"
"49","202407_s_at","AC012314.5"
"50","201891_s_at","B2M"
"51","201500_s_at","PPP1R11"
"52","202702_at","TRIM26"
"53","202929_s_at","DDTL"
"54","202929_s_at","DDT"
"55","200904_at","HLA-E"
"56","200905_x_at","HLA-E"
"57","203307_at","GNL1"
"58","203928_x_at","MAPT"
"59","203929_s_at","MAPT"
"60","203930_s_at","MAPT"
"61","203815_at","GSTT1"
"62","204795_at","PRR3"
"63","203288_at","GARRE1"
"64","200045_at","ABCF1"
"65","200750_s_at","RANP1"
"66","201702_s_at","PPP1R10"
"67","201703_s_at","PPP1R10"
"68","202395_at","NSF"
"69","200082_s_at","RPS7P11"
"70","203061_s_at","MDC1"
"71","203062_s_at","MDC1"
"72","203694_s_at","DHX16"
"73","204919_at","PRR4"
"74","200041_s_at","DDX39B"
"75","202408_s_at","AC012314.14"
"76","202407_s_at","AC012314.14"
"77","204086_at","PRAME"
"78","201492_s_at","RPL41P2"
"79","203577_at","GTF2H4"
"80","203129_s_at","KIF5C"
"81","201631_s_at","IER3"
"82","203577_at","CR936875.2"
"83","202011_at","TJP1"
"84","204718_at","EPHB6"
"85","204487_s_at","KCNQ1"
"86","201797_s_at","VARS1"
"87","201796_s_at","VARS1"
"88","1007_s_at","DDR1"
"89","203678_at","FAN1"
"90","201414_s_at","NAP1L4"
"91","204103_at","CCL4"
"92","200799_at","HSPA1A"
"93","200800_s_at","HSPA1A"
"94","202581_at","HSPA1B"
"95","200800_s_at","HSPA1B"
"96","204492_at","ARHGAP11A"
"97","202402_s_at","CARS1"
"98","203889_at","SCG5"
"99","202326_at","EHMT2"
"100","203113_s_at","EEF1D"
"101","203577_at","BX927194.2"
"102","202408_s_at","AC012314.6"
"103","202407_s_at","AC012314.6"
"104","203577_at","CR759747.2"
"105","203577_at","AL662854.2"
"106","203577_at","AL773541.2"
"107","200041_s_at","BX248516.1"
"108","201644_at","GFUS"
"109","204673_at","MUC2"
"110","203690_at","TUBGCP3"
"111","204301_at","KBTBD11"
"112","204919_at","AC245078.1"
"113","202876_s_at","PBX2"
"114","202875_s_at","PBX2"
"115","204265_s_at","GPSM3"
"116","204769_s_at","TAP2"
"117","204770_at","TAP2"
"118","201255_x_at","BAG6"
"119","204279_at","PSMB9"
"120","202307_s_at","TAP1"
"121","203932_at","HLA-DMB"
"122","204445_s_at","ALOX5"
"123","204446_s_at","ALOX5"
"124","202145_at","LY6E"
"125","203038_at","PTPRK"
"126","201137_s_at","HLA-DPB1"
"127","201818_at","LPCAT1"
"128","203905_at","PARN"
"129","204145_at","FRG1"
"130","204538_x_at","NPIPA3"
"131","201390_s_at","CSNK2B"
"132","202381_at","ADAM9"
"133","202262_x_at","DDAH2"
"134","204538_x_at","NPIPA1"
"135","204538_x_at","AC243791.4"
"136","204697_s_at","CHGA"
"137","204538_x_at","NPIPA5"
"138","201390_s_at","CR753842.2"
"139","202386_s_at","MARF1"
"140","201390_s_at","CR354443.4"
"141","200032_s_at","AC011295.1"
"142","201497_x_at","MYH11"
"143","201495_x_at","MYH11"
"144","201496_x_at","MYH11"
"145","201665_x_at","RPS17"
"146","203052_at","C2"
"147","203332_s_at","INPP5D"
"148","203331_s_at","INPP5D"
"149","202357_s_at","CFB"
"150","200694_s_at","DDX24"
"151","200702_s_at","DDX24"
"152","202411_at","IFI27"
"153","203727_at","SKIV2L"
"154","202833_s_at","SERPINA1"
"155","204522_at","DXO"
"156","204090_at","STK19"
"157","202804_at","ABCC1"
"158","202805_s_at","ABCC1"
"159","204538_x_at","AC244489.1"
"160","204538_x_at","AC244489.2"
"161","202840_at","TAF15"
"162","203168_at","TNXB"
"163","203168_at","ATF6B"
"164","1405_i_at","CCL5"
"165","204655_at","CCL5"
"166","204295_at","SURF1"
"167","202667_s_at","SLC39A7"
"168","204090_at","AL844853.5"
"169","200091_s_at","RPS25"
"170","202830_s_at","SLC37A4"
"171","200825_s_at","HYOU1"
"172","201049_s_at","RPS18"
"173","203367_at","DUSP14"
"174","203292_s_at","VPS11"
"175","201763_s_at","DAXX"
"176","203796_s_at","BCL7A"
"177","203795_s_at","BCL7A"
"178","202519_at","MLXIP"
"179","204670_x_at","HLA-DRB1"
"180","203792_x_at","PCGF2"
"181","203793_x_at","PCGF2"
"182","201400_at","PSMB3"
"183","201081_s_at","PIP4K2B"
"184","201080_at","PIP4K2B"
"185","203290_at","HLA-DQA1"
"186","202928_s_at","PHF1"
"187","203290_at","HLA-DQA2"
"188","203240_at","FCGBP"
"189","201252_at","PSMC4"
"190","203379_at","RPS6KA1"
"191","204054_at","PTEN"
"192","204053_x_at","PTEN"
"193","202235_at","SLC16A1"
"194","202234_s_at","SLC16A1"
"195","202236_s_at","SLC16A1"
"196","203715_at","AL357556.3"
"197","203714_s_at","AL357556.3"
"198","201846_s_at","RYBP"
"199","203476_at","TPBG"
"200","203039_s_at","NDUFS1"
"201","200705_s_at","EEF1B2"
"202","200705_s_at","AC007383.9"
"203","201909_at","RPS4Y1"
"204","204060_s_at","PRKY"
"205","203680_at","PRKAR2B"
"206","203630_s_at","COG5"
"207","203629_s_at","COG5"
"208","200601_at","ACTN4"
"209","204272_at","LGALS4"
"210","200789_at","ECH1"
"211","202072_at","AC008982.3"
"212","202072_at","HNRNPL"
"213","204331_s_at","MRPS12"
"214","204330_s_at","MRPS12"
"215","204303_s_at","CTIF"
"216","204302_s_at","CTIF"
"217","202725_at","POLR2A"
"218","200808_s_at","ZYX"
"219","204342_at","SLC25A24"
"220","200748_s_at","FTH1P2"
"221","201031_s_at","HNRNPH1"
"222","200068_s_at","CANX"
"223","202360_at","MAML1"
"224","201471_s_at","SQSTM1"
"225","204409_s_at","EIF1AY"
"226","204410_at","EIF1AY"
"227","201492_s_at","AC012005.1"
"228","204765_at","ARHGEF5"
"229","201492_s_at","AC006386.2"
"230","203448_s_at","TERF1P5"
"231","202239_at","PARP4P2"
"232","200839_s_at","AC270285.3"
"233","200838_at","AC270285.3"
"234","1487_at","ESRRAP1"
"235","202217_at","GATD3B"
"236","202217_at","FP565260.2"
"237","202778_s_at","ZMYM2"
"238","204703_at","IFT88"
"239","202858_at","U2AF1L5"
"240","204386_s_at","MRPL57"
"241","204387_x_at","MRPL57"
"242","204305_at","MIPEP"
"243","203448_s_at","TERF1P1"
"244","202239_at","PARP4"
"245","202557_at","HSPA13"
"246","202558_s_at","HSPA13"
"247","202599_s_at","NRIP1"
"248","202600_s_at","NRIP1"
"249","202239_at","AL354798.1"
"250","204435_at","NUP58"
"251","203403_s_at","RNF6"
"252","204831_at","CDK8"
"253","204042_at","WASF3"
"254","200012_x_at","RPL21"
"255","200012_x_at","SNORA27"
"256","201338_x_at","GTF3A"
"257","203917_at","CXADR"
"258","201614_s_at","RUVBL1"
"259","201293_x_at","PPIAP22"
"260","201534_s_at","UBL3"
"261","201535_at","UBL3"
"262","200682_s_at","UBE2L5"
