"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"1450020_at",0.297379250000002,7.290204625,5.182655194234,0.000396173800453326,0.999954907561919,-1.53370531094234,"Cx3cr1"
"1416160_at",0.326918750000001,4.592317875,4.1868619940012,0.00181999381973084,0.999954907561919,-2.14157438351043,"Nr2f2"
"1431913_a_at",0.231940750000001,6.132212625,4.13404703882957,0.00198089636887846,0.999954907561919,-2.17831332369215,"Pde3a"
"1436835_at",0.200788500000001,6.26217775,4.02265622596266,0.00237125451771222,0.999954907561919,-2.25733514404031,NA
"1425368_a_at",0.218282,7.36386175,3.92251440773062,0.00279121273380372,0.999954907561919,-2.33015712295965,"Numb"
"1441433_at",0.218326000000001,6.920868,3.88645746299983,0.00296089451162046,0.999954907561919,-2.35678932189425,NA
"1427369_at",0.26306375,6.288831125,3.80222153211453,0.00340067785424478,0.999954907561919,-2.41985402059173,"Nlrp6"
"1417413_at",0.2656085,4.96875925,3.73862902278192,0.00377754358324102,0.999954907561919,-2.46824522483,"Cuzd1"
"1419707_at",0.3051775,5.02157125,3.68042320040828,0.00416066303739583,0.999954907561919,-2.51312225258456,"Krtap14"
"1426526_s_at",0.271506,7.12964375,3.57154719802117,0.00498963261462973,0.999954907561919,-2.59854945497652,"Ovgp1"
"1452479_at",0.19666375,4.689339125,3.55688144688368,0.00511374065706101,0.999954907561919,-2.61020266419847,NA
"1418782_at",0.19964475,6.627763625,3.50691680892848,0.0055611104798217,0.999954907561919,-2.65016082474526,"Rxrg"
"1422315_x_at",0.226857000000001,4.66237275,3.49875761590787,0.00563792846493413,0.999954907561919,-2.65672346565982,"Phkg1"
"1426233_at",-0.20701825,8.067040125,-3.46953784793828,0.00592215160527218,0.999954907561919,-2.6803113240168,"Map2k4"
"1449693_at",0.24702575,6.507207375,3.45203808678592,0.00609942613804612,0.999954907561919,-2.69450191610775,NA
"1437925_at",0.194386000000001,5.5899265,3.44861866572786,0.00613470073632476,0.999954907561919,-2.697280284291,NA
"1419940_at",0.26856975,5.420638375,3.40417141509125,0.00661286169405135,0.999954907561919,-2.73355881587995,NA
"1456613_at",0.262311250000001,5.714614125,3.38179826575791,0.00686793874216339,0.999954907561919,-2.75193443680503,NA
