"ID_REF"	"GSM958123"	"GSM958124"	"GSM958125"	"GSM958126"	"GSM958127"	"GSM958128"	"GSM958129"	"GSM958130"
"1415670_at"	10.369633	10.319233	10.313233	10.358084	10.264548	10.293108	10.247138	10.319966
"1415671_at"	10.872617	10.861556	10.83633	10.918014	10.754101	10.907569	10.861957	10.86833
"1415672_at"	12.528891	12.464777	12.467861	12.432178	12.502587	12.47647	12.494367	12.476923
"1415673_at"	10.862188	10.239935	10.474388	10.542685	10.877651	10.153968	10.432951	10.530515
"1415674_a_at"	11.343481	11.361696	11.369493	11.310719	11.35028	11.210204	11.347019	11.289862
"1415675_at"	9.428051	9.357552	9.322682	9.469424	9.409096	9.343858	9.331172	9.404627
"1415676_a_at"	12.668416	12.541699	12.522806	12.67185	12.719846	12.503415	12.56813	12.666057
"1415677_at"	8.674184	8.836646	8.847549	8.952244	8.395851	8.796016	8.880462	8.916921
"1415678_at"	10.117113	9.981967	9.971513	10.000712	10.116039	9.922468	9.894069	9.883315
"1415679_at"	12.311675	12.452009	12.40537	12.42493	12.352907	12.403556	12.44156	12.435943
"1415680_at"	10.399507	10.339382	10.195079	10.317386	10.36403	10.211783	10.352618	10.26889
"1415681_at"	10.8851	10.951965	10.886855	10.946778	10.910213	10.898549	10.86148	10.914978
"1415682_at"	8.912759	8.590439	8.692652	8.734979	8.719051	8.741291	8.60051	8.613477
"1415683_at"	11.829698	11.90711	11.860493	11.897145	11.75702	11.790363	11.848943	11.841199
"1415684_at"	8.690302	8.70334	8.605976	8.676028	8.540526	8.665749	8.673588	8.820573
"1415685_at"	9.290705	9.14816	9.021885	9.104659	9.083451	9.168078	8.928992	9.117369
"1415686_at"	9.492109	9.16812	9.28196	9.234464	9.381278	9.296362	9.173799	9.152513
"1415687_a_at"	12.143837	11.998586	11.806116	11.864599	12.137312	11.99957	11.802311	11.831358
"1415688_at"	11.158616	11.01558	10.799065	11.003436	11.095965	10.975149	10.779301	11.01919
"1415689_s_at"	9.734404	9.794412	9.621488	9.777115	9.779352	9.804483	9.704994	9.724064
"1415690_at"	10.139901	10.188108	10.272323	10.308779	10.092007	10.092433	10.273737	10.243158
"1415691_at"	9.943684	9.81797	9.787066	9.835437	9.912139	9.841659	9.875152	9.894515
"1415692_s_at"	12.786505	12.834686	12.893887	12.959627	12.764223	12.945161	12.879323	12.899201
"1415693_at"	10.344698	10.314169	10.295354	10.450374	10.335897	10.314135	10.297057	10.324083
"1415694_at"	10.45093	10.395917	10.1186	10.515822	10.423292	10.358197	10.031956	10.533017
"1415695_at"	11.589934	11.52844	11.533749	11.610038	11.521488	11.570472	11.432697	11.571917
"1415696_at"	10.965773	10.873252	10.846389	10.905693	10.922834	10.817118	10.933954	10.875332
"1415697_at"	10.901688	11.009727	10.849716	10.975195	10.963391	10.913782	10.968393	11.018843
"1415698_at"	8.400438	8.229353	8.317034	8.360658	8.31848	8.219487	8.260949	8.351723
"1415699_a_at"	11.348883	11.280315	11.316695	11.282231	11.390923	11.197643	11.326767	11.202896
"1415700_a_at"	11.970672	11.988311	11.997955	12.081876	11.814767	12.0343	12.061813	12.086232
"1415701_x_at"	15.076299	15.07858	15.070542	15.083333	15.082138	15.098589	15.073637	15.079427
"1415702_a_at"	11.379892	11.260612	11.298022	11.324019	11.298201	11.426703	11.326462	11.323428
"1415703_at"	10.857032	10.628533	10.708641	10.719398	10.791579	10.782715	10.654987	10.618947
"1415704_a_at"	12.02494	11.987412	11.854614	11.892277	11.996847	11.893557	11.798023	11.86019
"1415705_at"	9.233355	9.487825	9.289393	9.39961	9.218006	9.410173	9.360633	9.313938
"1415706_at"	11.82699	11.735339	11.756418	11.848322	11.777531	11.745109	11.803625	11.787809
"1415707_at"	10.312831	10.400982	10.30072	10.327171	10.342615	10.335168	10.377332	10.310639
"1415708_at"	10.032531	9.876067	9.814449	9.846272	9.850363	9.992019	9.813727	9.76901
"1415709_s_at"	9.012072	8.771574	8.850427	8.844651	9.067356	8.961048	8.869551	8.954198
"1415710_at"	10.240802	10.115365	10.174596	10.241789	10.181757	10.018137	10.143065	10.252533
"1415711_at"	9.795929	9.531725	9.422448	9.531002	9.763674	9.543155	9.512479	9.492566
"1415712_at"	9.161697	8.831582	8.827456	8.743933	8.922089	9.014529	8.615024	8.707738
"1415713_a_at"	10.517552	10.536841	10.440477	10.466982	10.508838	10.406485	10.451391	10.485775
"1415714_a_at"	12.143002	12.035136	12.031136	12.071771	12.131611	11.969148	12.059526	12.057776
"1415715_at"	7.886333	7.735275	7.598791	7.952625	7.797793	7.703878	7.732074	7.886375
"1415716_a_at"	14.824859	14.784874	14.754905	14.722109	14.781245	14.816	14.690685	14.715855
