"","affy_mouse430a_2","mgi_symbol"
"1","","mt-Tp"
"2","","mt-Tt"
"3","","mt-Cytb"
"4","","mt-Te"
"5","","mt-Nd6"
"6","1426088_at","mt-Nd5"
"7","","mt-Tl2"
"8","","mt-Ts2"
"9","","mt-Th"
"10","","mt-Nd4"
"11","","mt-Nd4l"
"12","","mt-Tr"
"13","","mt-Nd3"
"14","","mt-Tg"
"15","","mt-Co3"
"16","","mt-Atp6"
"17","","mt-Atp8"
"18","","mt-Tk"
"19","","mt-Co2"
"20","","mt-Td"
"21","","mt-Ts1"
"22","","mt-Co1"
"23","","mt-Ty"
"24","","mt-Tc"
"25","","mt-Tn"
"26","","mt-Ta"
"27","","mt-Tw"
"28","","mt-Nd2"
"29","","mt-Tm"
"30","","mt-Tq"
"31","","mt-Ti"
"32","","mt-Nd1"
"33","","mt-Tl1"
"34","","mt-Rnr2"
"35","","mt-Tv"
"36","","mt-Rnr1"
"37","","mt-Tf"
"38","","Gm24984"
"39","1450934_at","Gm24616"
"40","","Gm24261"
"41","","Gm22166"
"42","","Mir450-2"
"43","1427598_at","Gm23047"
"44","","Gm24014"
"45","","Gm25149"
"46","","Gm23555"
"47","","Mir6359"
"48","","Gm24155"
"49","","Gm22952"
"50","","Mir7649"
"51","","Gm22514"
"52","","Gm27441"
"53","","Gm27668"
"54","","Gm24274"
"55","","Gm24946"
"56","","Gm22618"
"57","","Gm24371"
"58","","Mir1954"
"59","","Actl10"
"60","","Gm22594"
"61","","Gm26502"
"62","","Gm26478"
"63","","Gm23460"
"64","","Mir6400"
"65","","Gm25884"
"66","","Gm24999"
"67","","Gm23558"
"68","","n-R5s40"
"69","","Gm26458"
"70","","Gm27507"
"71","","n-R5s113"
"72","","Mir221"
"73","","Gm25670"
"74","","Gm25224"
"75","","Gm25059"
"76","","Gm24502"
"77","","n-R5s19"
"78","","Mir680-3"
"79","","Gm22823"
"80","","Gm24337"
"81","","Gm27892"
"82","","Gm25334"
"83","","Gm4883"
"84","","Mir29b-1"
"85","","Gm23841"
"86","","Gm22870"
"87","","n-R5s6"
"88","1427598_at","Gm23265"
"89","","Gm22730"
"90","","Gm23363"
"91","","Gm22949"
"92","","Gm24714"
"93","","Gm24775"
"94","","Gm22035"
"95","","Gm22044"
"96","1416661_at","Mir3084-2"
"97","","Gm23031"
"98","1452170_at","Mir671"
"99","","Mir6909"
"100","","Mir669p-2"
"101","","Gm26259"
"102","","Mir669l"
"103","","Gm25879"
"104","","Gm23587"
"105","","n-R5s213"
"106","","Gm24614"
"107","","Gm22159"
"108","","Gm23273"
"109","","Gm23446"
"110","","Gm22836"
"111","","Gm24242"
"112","","Gm22321"
"113","","Mir804"
"114","1416522_a_at","Rnu7"
"115","","Gm23437"
"116","","Gm25272"
"117","","Gm25817"
"118","","Gm25528"
"119","","Gm23738"
"120","","Gm22034"
"121","","Gm28019"
"122","","Gm24415"
"123","","Gm23411"
"124","","Gm24253"
"125","","Gm23564"
"126","","Gm22713"
"127","","Gm24103"
